timestamp_utc,session,member,video_id,views,likes
2026-05-30T14:35:48.338129+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3055,838
2026-05-30T14:35:48.338129+00:00,0530 음악중심,리오,hFzZt3MeAtY,3693,1121
2026-05-30T14:35:48.338129+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2015,368
2026-05-30T14:35:48.338129+00:00,0530 음악중심,준서,lAsf2DeuEgk,1619,495
2026-05-30T14:40:53.261031+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5046,1183
2026-05-30T14:40:53.261031+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5865,1573
2026-05-30T14:40:53.261031+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2866,677
2026-05-30T14:40:53.261031+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2596,536
2026-05-30T14:40:53.261031+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4325,1138
2026-05-30T14:40:53.261031+00:00,0530 음악중심,안신,2wwWOyJxHGA,2296,661
2026-05-30T14:40:53.261031+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4385,1245
2026-05-30T14:40:53.261031+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3088,840
2026-05-30T14:40:53.261031+00:00,0530 음악중심,리오,hFzZt3MeAtY,3726,1132
2026-05-30T14:40:53.261031+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2022,368
2026-05-30T14:40:53.261031+00:00,0530 음악중심,준서,lAsf2DeuEgk,1635,496
2026-05-30T14:45:48.930654+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5065,1187
2026-05-30T14:45:48.930654+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5902,1576
2026-05-30T14:45:48.930654+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2891,682
2026-05-30T14:45:48.930654+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2616,537
2026-05-30T14:45:48.930654+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4386,1146
2026-05-30T14:45:48.930654+00:00,0530 음악중심,안신,2wwWOyJxHGA,2321,662
2026-05-30T14:45:48.930654+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4446,1254
2026-05-30T14:45:48.930654+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3109,843
2026-05-30T14:45:48.930654+00:00,0530 음악중심,리오,hFzZt3MeAtY,3749,1137
2026-05-30T14:45:48.930654+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2036,371
2026-05-30T14:45:48.930654+00:00,0530 음악중심,준서,lAsf2DeuEgk,1666,501
2026-05-30T14:47:23.998481+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5124,1187
2026-05-30T14:47:23.998481+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5902,1578
2026-05-30T14:47:23.998481+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2891,684
2026-05-30T14:47:23.998481+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2620,537
2026-05-30T14:47:23.998481+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4386,1149
2026-05-30T14:47:23.998481+00:00,0530 음악중심,안신,2wwWOyJxHGA,2321,665
2026-05-30T14:47:23.998481+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4446,1254
2026-05-30T14:47:23.998481+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3109,844
2026-05-30T14:47:23.998481+00:00,0530 음악중심,리오,hFzZt3MeAtY,3807,1143
2026-05-30T14:47:23.998481+00:00,0530 음악중심,상현,Ro_NFYTxfxY,2036,373
2026-05-30T14:47:23.998481+00:00,0530 음악중심,준서,lAsf2DeuEgk,1666,503
2026-05-30T14:50:52.835534+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5124,1195
2026-05-30T14:50:52.835534+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5930,1578
2026-05-30T14:50:52.835534+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2908,687
2026-05-30T14:50:52.835534+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2634,539
2026-05-30T14:50:52.835534+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4432,1156
2026-05-30T14:50:52.835534+00:00,0530 음악중심,안신,2wwWOyJxHGA,2343,668
2026-05-30T14:50:52.835534+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4493,1258
